Name_of_Establishment,City,State,Zip Code,Rooms,rating_from_booking.com,number_of_reviews,image,lat,lon,Class
Chief Motel,Custer, SD ,57730,33,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.7645505,-103.6060156,Economy Class
Holiday Inn Express & Suites Custer,Custer, SD ,57730,91,8.8,174 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.76360173,-103.6151857,Upper Midscale Class
Legion Lake Lodge,Custer, SD ,57730,26,NA,NA,,43.76186777,-103.4627663,Luxury Class
Super 8 Custer Crazy Horse Area,Custer, SD ,57730,54,8.1,515 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.76342449,-103.6167612,Economy Class
Rocket Motel,Custer, SD ,57730,27,NA,NA,,43.76548978,-103.6044434,Economy Class
Blue Bell Lodge & Resort,Custer, SD ,57730,29,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.71579089,-103.4840589,Luxury Class
Country Inn & Suites Dakota Dunes,Dakota Dunes, SD ,57049,67,8.4,223 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,42.50520278,-96.49524813,Upper Midscale Class
Holiday Inn Express & Suites Dakota Dunes Event Center,Dakota Dunes, SD ,57049,92,9.3,78 reviews,,42.50677951,-96.48936763,Upper Midscale Class
De Smet Super Deluxe Inn & Suites,De Smet, SD ,57231,37,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.38196147,-97.54604665,Midscale Class
Cottage Inn Motel,De Smet, SD ,57231,35,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.3830384,-97.54923307,Economy Class
Historic Bullock Hotel,Deadwood, SD ,57732,28,8.4,353 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.37783109,-103.7290934,Upper Upscale Class
Holiday Inn Express & Suites Deadwood Gold Dust Casino,Deadwood, SD ,57732,78,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.37685897,-103.7298119,Upper Midscale Class
Mineral Palace Hotel,Deadwood, SD ,57732,63,8.3,522 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.37827204,-103.7284714,Upscale Class
Thunder Cove Inn,Deadwood, SD ,57732,34,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.36296803,-103.7381083,Economy Class
The Lodge @ Deadwood,Deadwood, SD ,57732,140,9,928 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.39469918,-103.7155234,Upper Upscale Class
Historic Franklin Hotel,Deadwood, SD ,57732,68,7.2,"1,255 reviews",https://cf.bstatic.com/xdata/images/hotel/square200/82032250.jpg?k=5f290e8710a063c2aea7648fc45e97155c4a211de863d6349c5ff681ea5187c0&o=,44.37568195,-103.7313632,Upper Midscale Class
The Hotel by Gold Dust,Deadwood, SD ,57732,42,8.3,561 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/250483176.jpg?k=b630037fd54ef8422c739a1d0f05ec1b4f187d43bfc0591422cb32fbbd2be61d&o=,44.37670502,-103.7299785,Upper Upscale Class
Super 8 Deadwood,Deadwood, SD ,57732,51,8.2,408 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.36631875,-103.7335037,Economy Class
Holiday Inn Resort Deadwood Mountain Grand,Deadwood, SD ,57732,98,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.37414765,-103.7305829,Upper Midscale Class
Cedar Wood Inn,Deadwood, SD ,57732,23,9.2,417 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/228272679.jpg?k=d1d3b5193933939847f25c94329edcc79e0cd1b0e154b957496e266c1b364757&o=,44.36936361,-103.7307572,Midscale Class
Comfort Inn & Suites Deadwood,Deadwood, SD ,57732,69,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.36493815,-103.7327635,Upper Midscale Class
Deadwood Station Bunkhouse & Gambling Hall,Deadwood, SD ,57732,38,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.38834685,-103.7131165,Economy Class
Deadwood Gulch Gaming Resort,Deadwood, SD ,57732,87,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.36476526,-103.7363588,Upscale Class
Gold Country Inn,Deadwood, SD ,57732,53,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.37273218,-103.7347214,Economy Class
Black Hills Inn & Suites,Deadwood, SD ,57732,47,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.35431318,-103.7378031,Economy Class
Hickok House,Deadwood, SD ,57732,45,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.37631663,-103.730838,Upscale Class
DoubleTree by Hilton Deadwood at Cadillac Jack's,Deadwood, SD ,57732,107,8.6,343 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/165142640.jpg?k=5518e59a3a03bf7d5782ea6ee09e5551bcde3070042824d99818766039a8dbe3&o=,44.38520048,-103.7206986,Upscale Class
Hampton Inn @ Tin Lizzie Gaming Resort,Deadwood, SD ,57732,59,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.37967682,-103.7255995,Upper Midscale Class
Tru by Hilton Deadwood,Deadwood, SD ,57732,108,8.4,839 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/168447142.jpg?k=e44174b26f8e4699468900b1f8b033a6707087815a9787298e1ac250b377fcf4&o=,44.38459316,-103.721712,Midscale Class
Springhill Suites Deadwood,Deadwood, SD ,57732,78,8.9,353 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.38566042,-103.7200033,Upscale Class
First Gold Hotel,Deadwood, SD ,57732,37,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.38655828,-103.7179569,Midscale Class
Travelodge Inn & Suites Deadwood,Deadwood, SD ,57732,162,8.1,635 reviews,,44.38748071,-103.7163652,Economy Class
Bilmar Inn & Suites,Dell Rapids, SD ,57022,32,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.82588796,-96.72166173,Economy Class
Cheyenne River Motel,Eagle Butte, SD ,57625,40,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,45.00887228,-101.2364474,Economy Class
Cowboy Inn,Edgemont, SD ,57735,32,NA,NA,,43.30431059,-103.8299377,Economy Class
Travelodge Edgemont,Edgemont, SD ,57735,56,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.30464632,-103.8312145,Economy Class
HomeTown Inn,Elk Point, SD ,57025,18,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,42.69133858,-96.69471439,Economy Class
Lakeview Motel,Eureka, SD ,57437,33,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,45.76691271,-99.62999863,Economy Class
Prairie Vista Inn,Faith, SD ,57626,27,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,45.02295178,-102.0366577,Economy Class
Faulkton Inn,Faulkton, SD ,57438,20,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,45.03516329,-99.12306659,Economy Class
Royal River Casino Motel,Flandreau, SD ,57028,120,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.04184369,-96.60619527,Economy Class
My Place Hotel Fort Pierre,Fort Pierre, SD ,57532,46,8.6,121 reviews,,44.36755383,-100.3762557,Upper Midscale Class
Fort Pierre Motel,Fort Pierre, SD ,57532,29,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.35189048,-100.3737001,Economy Class
Holiday Inn Express & Suites Fort Pierre,Fort Pierre, SD ,57532,83,7.7,46 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.36621529,-100.3784737,Upper Midscale Class
AmericInn Lodge & Suites Pierre Fort Pierre Conference Center,Fort Pierre, SD ,57532,67,8.5,54 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.36694392,-100.3723261,Midscale Class
Lode Star Casino Motel,Fort Thompson, SD ,57339,49,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.06949431,-99.43872202,Economy Class
Freeman Country Inn,Freeman, SD ,57029,27,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.34396388,-97.42122337,Economy Class
Buffalo Ridge Resort Herrick Hotel,Gary, SD ,57237,19,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.79565057,-96.45548892,Midscale Class
Gettysburg Inn & Suites,Gettysburg, SD ,57442,35,8.9,51 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,45.01491208,-99.94596836,Midscale Class
Trail Motel,Gettysburg, SD ,57442,22,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,45.01386009,-99.9538484,Economy Class
Parkside Motel,Gregory, SD ,57533,21,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.23831226,-99.43555799,Economy Class
AmericInn Hotel & Suites Hartford,Hartford, SD ,57033,47,9,188 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.61053087,-96.94910531,Midscale Class
