Name_of_Establishment,City,State,Zip Code,Rooms,rating_from_booking.com,number_of_reviews,lat,lon,Class
Travelodge Edgemont,Edgemont, SD ,57735,56,NA,NA,43.30464632,-103.8312145,Economy Class
HomeTown Inn,Elk Point, SD ,57025,18,NA,NA,42.69133858,-96.69471439,Economy Class
Lakeview Motel,Eureka, SD ,57437,33,NA,NA,45.76691271,-99.62999863,Economy Class
Prairie Vista Inn,Faith, SD ,57626,27,NA,NA,45.02295178,-102.0366577,Economy Class
Faulkton Inn,Faulkton, SD ,57438,20,NA,NA,45.03516329,-99.12306659,Economy Class
Royal River Casino Motel,Flandreau, SD ,57028,120,NA,NA,44.04184369,-96.60619527,Economy Class
My Place Hotel Fort Pierre,Fort Pierre, SD ,57532,46,8.6,121 reviews,44.36755383,-100.3762557,Upper Midscale Class
Fort Pierre Motel,Fort Pierre, SD ,57532,29,NA,NA,44.35189048,-100.3737001,Economy Class
Holiday Inn Express & Suites Fort Pierre,Fort Pierre, SD ,57532,83,7.7,46 reviews,44.36621529,-100.3784737,Upper Midscale Class
AmericInn Lodge & Suites Pierre Fort Pierre Conference Center,Fort Pierre, SD ,57532,67,8.5,54 reviews,44.36694392,-100.3723261,Midscale Class
Lode Star Casino Motel,Fort Thompson, SD ,57339,49,NA,NA,44.06949431,-99.43872202,Economy Class
Freeman Country Inn,Freeman, SD ,57029,27,NA,NA,43.34396388,-97.42122337,Economy Class
Buffalo Ridge Resort Herrick Hotel,Gary, SD ,57237,19,NA,NA,44.79565057,-96.45548892,Midscale Class
Gettysburg Inn & Suites,Gettysburg, SD ,57442,35,8.9,51 reviews,45.01491208,-99.94596836,Midscale Class
Trail Motel,Gettysburg, SD ,57442,22,NA,NA,45.01386009,-99.9538484,Economy Class
Parkside Motel,Gregory, SD ,57533,21,NA,NA,43.23831226,-99.43555799,Economy Class
AmericInn Hotel & Suites Hartford,Hartford, SD ,57033,47,9,188 reviews,43.61053087,-96.94910531,Midscale Class
Holiday Inn Express & Suites Hill City Mount Rushmore,Hill City, SD ,57745,60,8.6,260 reviews,43.93393116,-103.5702676,Upper Midscale Class
Quality Inn Near Mount Rushmore,Hill City, SD ,57745,55,8.6,498 reviews,43.92644606,-103.5764472,Midscale Class
Lantern Inn,Hill City, SD ,57745,19,NA,NA,43.93555695,-103.5672728,Economy Class
The Lodge at Palmer Gulch,Hill City, SD ,57745,62,8.5,305 reviews,43.90159752,-103.537738,Midscale Class
Best Western Golden Spike Inn & Suites,Hill City, SD ,57745,107,NA,NA,43.93480638,-103.5658259,Midscale Class
